lfd_Nr	Geschlecht	Groesse	Gewicht	BMI	IQ	Abischni	Alter										
1	0	1,88	86	24,33	88	4,0	30										
2	0	1,74	61	20,15	110	2,5	35										
3	0	1,85	85	24,84	100	2,7	35										
4	0	1,93	82	22,01	120	1,7	35										
5	0	1,67	61	21,87	101	2,9	30										
6	0	1,58	56	22,43	127	1,0	28										
7	0	1,67	55	19,72	100	2,0	28										
8	0	2,02	95	23,28	96	3,0	38										
9	0	1,97	64	16,49	98	3,1	32										
10	0	1,79	72	22,47	116	2,2	31										
11	0	2,05	88	20,94	127	1,7	34										
12	0	1,56	58	23,83	129	1,2	29										
13	0	1,76	105	33,90	116	1,6	34										
14	0	1,73	55	18,38	132	1,0	33										
15	0	1,87	82	23,45	97	3,4	36										
16	0	1,62	66	25,15	90	3,6	31										
17	0	1,72	58	19,61	124	1,5	34										
18	0	1,71	64	21,89	130	1,2	36										
19	0	1,82	102	30,79	108	1,9	31										
20	0	1,89	64	17,92	118	2,3	31										
21	0	1,63	57	21,45	108	2,6	29										
22	0	1,76	60	19,37	119	2,5	31										
23	0	1,57	69	27,99	118	2,4	28										
24	0	1,81	89	27,17	97	3,8	37										
25	0	1,87	87	24,88	96	3,6	33										
26	0	1,78	84	26,51	125	1,7	27										
27	1	1,73	67	22,39	115	2,0	34										
28	1	1,62	51	19,43	97	3,2	28										
29	1	1,54	66	27,83	97	3,4	34										
30	1	1,49	52	23,42	123	1,3	34										
31	1	1,70	72	24,91	115	1,4	29										
32	1	1,71	69	23,60	87	4,0	32										
33	1	1,67	52	18,65	130	1,8	29										
34	1	1,75	61	19,92	92	3,0	33										
35	1	1,60	63	24,61	86	3,3	27										
36	1	1,50	52	23,11	117	2,0	37										
37	1	1,48	52	23,74	109	2,6	35										
38	1	1,67	60	21,51	111	3,0	30										
39	1	1,65	51	18,73	109	3,2	27										
40	1	1,66	58	21,05	115	2,0	36										
41	1	1,78	60	18,94	123	1,4	33										
42	1	1,78	65	20,52	131	1,0	32										
43	1	1,49	50	22,52	96	2,9	29										
44	1	1,65	57	20,94	118	1,9	28										
45	1	1,77	61	19,47	116	2,0	37										
46	1	1,66	58	21,05	93	3,6	31										
47	1	1,74	61	20,15	108	2,5	29										
48	1	1,53	57	24,35	105	2,7	38										
49	1	1,69	54	18,91	89	3,8	36										
50	1	1,66	61	22,14	109	2,6	29										
51	1	1,72	54	18,25	120	1,9	30										
																	
